smiles,MW,LogP,HBA,HBD,TPSA,QED,SA,composite_score
C1CN(CCN1CCOC2=CC3=C(C=C2)N=CN=C3NC4=CC=C(C=C4)F)C,381.4550000000001,3.138700000000001,6,1,53.52,0.7080398525465688,2.1262407529178216,0.4954157772547866
C1=CC(=CC=C1NC2=NC=NC3=C2C=C(C=C3)OCCN4CCOCC4)Cl,384.8670000000002,3.7378000000000027,6,1,59.510000000000005,0.698270380140173,2.1084663464534064,0.4874237454948323
C1CN(CCN1CCOC2=CC3=C(C=C2)N=CN=C3NC4=CC=CC(=C4)Cl)C,397.91000000000014,3.6530000000000022,6,1,53.52,0.6847631986451505,2.1659538861260774,0.4681678100325427
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=CC=C3)F)OCCN4CCCC4,382.4390000000003,3.995700000000002,6,1,59.51000000000001,0.6666458308369627,2.1799368129553454,0.4486521495414282
C1=CC(=CC=C1NC2=NC=NC3=C2C=C(C=C3)OCCN4CCCC4)Br,413.3190000000002,4.610500000000004,5,1,50.28000000000001,0.6397810674220251,2.078927391561562,0.43188832826586887
CN(C)CCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)Cl)F)OC,390.8460000000001,4.114900000000003,6,1,59.510000000000005,0.6546289349597705,2.2686964071821514,0.42775929424155534
CN(C)CCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC=CC(=C3)F)OC,370.4280000000001,3.851600000000002,6,1,59.510000000000005,0.6079589487481994,2.1928242635363233,0.38867652239456707
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCN4CCCC4,416.8840000000003,4.6491000000000025,6,1,59.51000000000001,0.6046515530594707,2.247792943499247,0.379872258709546
C1CN(CCN1CCCOC2=CC3=C(C=C2)N=CN=C3NC4=CC=C(C=C4)Cl)C,411.93700000000007,4.043100000000003,6,1,53.52,0.5919244314369954,2.144734061792718,0.37745102525772356
CN(C)CCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)Br)F)OC,435.2970000000001,4.224000000000003,6,1,59.510000000000005,0.5998870956557647,2.321388310016161,0.36774826465414856
CN(C)CCCOC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OC,404.8730000000001,4.5050000000000034,6,1,59.510000000000005,0.5574662574306788,2.261706473581844,0.33129561007249436
C1CN(CCN1CCOC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)F)Cl)CCO,445.9260000000002,3.1546000000000016,7,2,73.75,0.551362672690574,2.3196360112947048,0.3193990715611036
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,446.91000000000037,4.2756000000000025,7,1,68.74000000000001,0.517854527865434,2.337357549756243,0.28411877288980963
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC=C(C=C3)Br)OCCCN4CCOCC4,473.3710000000004,4.245600000000003,7,1,68.74000000000001,0.49103294667258884,2.2665404663046242,0.2643789000421264
COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)Br)F)OCCCN4CCOCC4,491.36100000000033,4.384700000000002,7,1,68.74000000000001,0.4692931815282506,2.401312934371628,0.2291618880910878
